angle1,angle2,angle3,angle4,angle5,angle6,letra
76,54,164,165,165,135,K
76,54,165,165,166,135,K
73,53,164,165,167,136,K
74,53,165,165,165,135,K
76,55,165,164,167,135,K
76,55,165,164,166,134,K
77,56,166,165,165,134,K
76,55,165,166,166,135,K
78,55,164,165,166,135,K
27,0,6,173,163,179,L
26,2,9,172,162,179,L
25,0,7,172,164,178,L
27,1,5,173,164,177,L
27,1,6,173,165,177,L
27,2,7,173,166,177,L
29,1,5,173,164,177,L
28,1,7,173,163,178,L
35,2,8,172,164,176,L
37,2,9,172,163,177,L
26,2,8,173,163,178,L
26,0,5,173,162,177,L
27,1,7,173,164,177,L
25,3,9,173,163,177,L
37,1,6,173,163,178,L
48,0,6,172,164,178,L
20,0,8,172,164,178,L
24,0,5,173,164,178,L
25,1,5,173,165,178,L
26,1,4,174,164,178,L
21,1,6,174,164,177,L
24,1,5,174,163,178,L
26,1,0,174,162,177,L
23,1,2,173,164,176,L
25,1,4,174,164,176,L
23,1,5,174,162,177,L
26,1,5,174,163,177,L
25,2,6,174,163,177,L
25,1,4,175,162,177,L
26,0,4,173,163,178,L
21,2,2,174,164,177,L
21,2,2,174,164,177,L
23,0,5,174,164,178,L
26,2,2,174,162,177,L
24,1,4,172,163,177,L
24,0,3,174,164,177,L
23,0,5,174,162,177,L
25,0,4,174,163,177,L
27,1,3,174,164,177,L
27,1,4,173,163,177,L
23,1,3,174,162,178,L
21,0,5,174,162,177,L
20,1,4,174,164,177,L
20,1,4,174,162,176,L
20,1,7,174,163,177,L
22,1,6,173,163,177,L
22,2,6,173,165,176,L
22,2,6,173,165,176,L
24,1,4,173,163,177,L
24,1,4,173,163,177,L
26,0,4,173,161,176,L
24,0,6,174,162,177,L
24,0,6,173,162,178,L
25,0,5,174,161,177,L
24,1,4,174,162,177,L
22,2,7,172,162,177,L
31,1,6,172,161,177,L
34,1,7,172,161,177,L
31,1,6,172,160,177,L
30,1,7,172,159,178,L
30,2,7,172,161,178,L
28,0,4,172,161,177,L
28,1,4,172,161,178,L
28,1,5,172,160,177,L
24,1,4,173,160,179,L
26,2,3,173,159,178,L
30,2,5,171,161,178,L
28,2,5,173,161,179,L
31,2,5,173,160,177,L
28,2,6,172,162,177,L
28,3,5,172,162,179,L
26,2,4,173,162,178,L
28,2,4,173,162,178,L
32,2,5,173,160,179,L
29,1,6,171,161,179,L
30,2,5,173,161,179,L
30,1,6,172,162,178,L
26,1,6,173,161,178,L
27,2,5,173,160,178,L
27,2,5,173,162,178,L
25,0,6,172,162,179,L
23,0,5,173,162,178,L
29,0,6,172,162,178,L
26,1,7,172,162,179,L
25,1,7,172,162,178,L
27,0,7,172,159,179,L
25,0,7,172,161,179,L
24,0,7,171,161,179,L
26,0,7,172,162,178,L
24,1,7,173,161,178,L
29,2,4,172,161,178,L
31,2,4,172,158,179,L
27,1,5,172,159,178,L
25,1,5,172,161,178,L
26,1,4,173,161,178,L
27,0,6,173,159,178,L
26,1,5,173,160,179,L
26,1,6,173,158,179,L
27,2,5,172,159,179,L
26,2,5,173,157,180,L
43,15,179,179,171,112,N
46,20,178,179,169,110,N
41,19,178,179,170,110,N
52,22,179,178,167,109,N
53,22,179,178,170,109,N
42,16,179,178,168,108,N
48,17,179,178,169,110,N
40,11,179,178,171,111,N
60,16,178,0,173,113,N
53,15,179,180,170,112,N
42,11,179,180,172,114,N
47,20,179,180,170,111,N
48,21,180,179,171,112,N
57,21,179,179,173,111,N
51,20,179,179,171,113,N
41,14,178,179,174,115,N
41,15,177,179,170,112,N
39,5,178,179,172,118,N
49,6,178,179,170,114,N
53,17,178,179,175,115,N
54,18,177,179,170,114,N
60,18,178,180,171,114,N
66,11,178,179,174,117,N
58,11,180,179,170,114,N
62,12,178,179,169,114,N
72,13,179,180,172,114,N
73,16,180,179,171,116,N
60,16,180,178,170,114,N
61,16,180,179,173,115,N
62,11,180,179,172,115,N
59,10,179,178,172,115,N
75,7,180,179,174,119,N
60,6,179,179,173,115,N
76,14,180,178,175,115,N
60,10,180,178,174,114,N
54,10,179,177,172,111,N
59,13,180,179,176,112,N
53,2,180,178,172,110,N
55,3,180,178,171,111,N
42,18,180,180,171,112,N
53,15,179,0,170,114,N
60,11,180,179,170,117,N
59,11,180,178,168,116,N
58,7,180,179,172,114,N
47,8,180,179,172,114,N
54,1,179,178,174,118,N
48,5,180,179,176,114,N
41,5,179,179,174,114,N
39,4,179,179,178,114,N
54,9,178,177,173,110,N
63,14,179,179,171,110,N
60,15,180,179,171,111,N
66,15,179,178,170,115,N
72,16,180,179,171,116,N
71,14,180,179,172,114,N
76,18,180,180,170,110,N
71,16,180,179,171,112,N
76,15,178,180,171,114,N
75,15,178,179,172,113,N
69,14,179,179,171,116,N
65,13,180,180,172,114,N
68,17,179,180,172,114,N
64,15,179,179,173,112,N
73,15,180,180,173,111,N
71,16,179,179,174,111,N
67,16,180,180,171,111,N
68,16,180,180,170,114,N
62,18,179,180,174,116,N
59,15,178,179,174,116,N
63,18,178,180,171,115,N
65,20,179,180,171,114,N
59,18,179,180,172,115,N
60,18,179,180,172,116,N
58,19,179,180,170,113,N
51,17,178,179,169,113,N
71,13,179,179,170,114,N
68,17,179,179,171,112,N
42,8,179,179,171,112,N
44,11,177,179,172,115,N
45,12,178,178,174,114,N
45,10,178,178,174,113,N
58,14,178,179,172,114,N
56,14,178,179,173,114,N
55,14,178,179,173,115,N
42,9,178,179,169,112,N
45,10,177,179,171,110,N
58,12,178,179,171,111,N
57,15,178,180,171,112,N
54,14,178,180,171,112,N
54,10,178,179,174,112,N
54,15,179,179,174,112,N
62,16,179,179,173,112,N
62,14,179,180,172,112,N
49,12,179,180,172,113,N
53,12,179,179,172,113,N
52,14,179,179,172,112,N
58,18,178,179,171,112,N
52,18,179,180,171,115,N
51,17,180,180,171,114,N
56,17,178,180,172,113,N
109,83,79,87,150,163,O
109,82,80,88,152,165,O
108,82,79,90,147,162,O
110,83,80,88,149,163,O
110,82,80,86,155,165,O
109,82,79,85,155,165,O
109,81,78,86,151,165,O
106,79,78,85,155,165,O
107,80,78,87,152,164,O
108,82,80,90,154,164,O
108,82,80,88,156,165,O
109,82,79,89,157,167,O
109,81,80,88,157,167,O
108,82,79,88,153,164,O
108,80,79,89,151,165,O
109,80,78,86,152,165,O
107,79,77,86,152,165,O
106,80,77,89,156,167,O
106,80,78,89,155,167,O
106,81,77,88,158,168,O
109,80,79,92,161,169,O
108,80,78,89,161,168,O
109,80,78,91,161,168,O
109,80,79,92,162,169,O
110,80,80,90,162,167,O
110,82,79,89,152,163,O
109,82,79,90,150,163,O
108,80,78,88,158,167,O
107,80,78,87,156,166,O
104,78,77,87,153,167,O
104,78,77,87,152,165,O
106,79,77,88,153,166,O
108,80,78,91,156,167,O
108,81,78,88,153,165,O
108,81,78,87,156,167,O
106,81,80,88,150,165,O
108,81,79,92,150,165,O
105,83,81,88,152,166,O
105,83,79,88,154,166,O
